town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
м. Лиман,22409.0,22315.0,22025.0,Донецька область,Лиман,1413300000,М,14,town,КРАСНИЙ ЛИМАН
м. Покровськ,64533.0,64251.0,63635.0,Донецька область,Покровськ,1413200000,М,14,town,КРАСНОАРМІЙСЬК
м. Родинське,10641.0,10512.0,10369.0,Донецька область,Покровськ,1413270600,М,14,town,
смт Шевченко,1774.0,1755.0,1734.0,Донецька область,Покровськ,1413245400,Т,14,smt,
м. Макіївка,351820.0,348173.0,347227.0,Донецька область,Макіївка,1413500000,В,14,city,
смт Велике Оріхове,603.0,597.0,597.0,Донецька область,Макіївка,1413566200,Т,14,smt,
смт Високе,463.0,457.0,457.0,Донецька область,Макіївка,1413569200,Т,14,smt,
смт Вугляр,1086.0,1087.0,1087.0,Донецька область,Макіївка,1413569100,Т,14,smt,
смт Грузько-Зорянське,1346.0,1333.0,1333.0,Донецька область,Макіївка,1413569300,Т,14,smt,
смт Грузько-Ломівка,622.0,614.0,614.0,Донецька область,Макіївка,1413569400,Т,14,smt,
смт Гусельське,459.0,457.0,457.0,Донецька область,Макіївка,1413569500,Т,14,smt,
смт Землянки,1732.0,1715.0,1713.0,Донецька область,Макіївка,1413565300,Т,14,smt,
смт Липське,912.0,893.0,893.0,Донецька область,Макіївка,1413567600,Т,14,smt,КРАСНИЙ ОКТЯБР
смт Кринична,4516.0,4485.0,4485.0,Донецька область,Макіївка,1413567800,Т,14,smt,
смт Колосникове,602.0,598.0,598.0,Донецька область,Макіївка,1413569600,Т,14,smt,
смт Лісне,136.0,132.0,132.0,Донецька область,Макіївка,1413567000,Т,14,smt,
смт Маяк,1193.0,1180.0,1180.0,Донецька область,Макіївка,1413568100,Т,14,smt,
смт Межове,1202.0,1193.0,1193.0,Донецька область,Макіївка,1413569700,Т,14,smt,
смт Нижня Кринка,13820.0,13690.0,13671.0,Донецька область,Макіївка,1413566500,Т,14,smt,
смт П’ятипілля,3190.0,3159.0,3159.0,Донецька область,Макіївка,1413569800,Т,14,smt,ПРОЛЕТАРСЬКЕ
смт Холодне,1487.0,1470.0,1460.0,Донецька область,Макіївка,1413569900,Т,14,smt,СВЕРДЛОВЕ
смт Ясинівка,3647.0,3623.0,3621.0,Донецька область,Макіївка,1413565700,Т,14,smt,
м. Маріуполь,460927.0,457308.0,453623.0,Донецька область,Маріуполь,1412300000,В,14,city,
смт Сартана,10779.0,10728.0,10647.0,Донецька область,Маріуполь,1412365300,Т,14,smt,
смт Старий Крим,6051.0,6025.0,5991.0,Донецька область,Маріуполь,1412365600,Т,14,smt,
смт Талаківка,4133.0,4113.0,4081.0,Донецька область,Маріуполь,1412365800,Т,14,smt,
м. Новогродівка,15247.0,15170.0,15027.0,Донецька область,Новогродівка,1413600000,М,14,town,
м. Селидове,23989.0,23793.0,23481.0,Донецька область,Селидове,1413800000,М,14,town,
м. Гірник,11510.0,11378.0,11214.0,Донецька область,Селидове,1413870300,М,14,town,
м. Українськ,11928.0,11824.0,11694.0,Донецька область,Селидове,1413870900,М,14,town,
смт Вишневе,260.0,257.0,256.0,Донецька область,Селидове,1413845300,Т,14,smt,
смт Гостре,660.0,647.0,633.0,Донецька область,Селидове,1413846200,Т,14,smt,
смт Комишівка,430.0,457.0,432.0,Донецька область,Селидове,1413845600,Т,14,smt,
смт Курахівка,3007.0,2968.0,2913.0,Донецька область,Селидове,1413845900,Т,14,smt,
смт Цукурине,1970.0,1950.0,1920.0,Донецька область,Селидове,1413846500,Т,14,smt,
м. Слов’янськ,116694.0,115421.0,114437.0,Донецька область,Слов’янськ,1414100000,М,14,town,
м. Святогірськ,4630.0,4592.0,4531.0,Донецька область,Слов’янськ,1414170500,М,14,town,
м. Сніжне,48003.0,47457.0,47296.0,Донецька область,Сніжне,1414400000,М,14,town,
смт Андріївка,2194.0,2146.0,2144.0,Донецька область,Сніжне,1414445300,Т,14,smt,
смт Бражине,316.0,312.0,312.0,Донецька область,Сніжне,1414445600,Т,14,smt,
смт Гірницьке,1170.0,1160.0,1159.0,Донецька область,Сніжне,1414445900,Т,14,smt,
смт Залісне,2421.0,2407.0,2405.0,Донецька область,Сніжне,1414446200,Т,14,smt,
смт Лиманчук,902.0,890.0,890.0,Донецька область,Сніжне,1414446500,Т,14,smt,
смт Никифорове,368.0,358.0,358.0,Донецька область,Сніжне,1414446800,Т,14,smt,
смт Первомайське,511.0,502.0,502.0,Донецька область,Сніжне,1414447400,Т,14,smt,
смт Первомайський,2827.0,2801.0,2800.0,Донецька область,Сніжне,1414447100,Т,14,smt,
смт Побєда,539.0,542.0,542.0,Донецька область,Сніжне,1414447700,Т,14,smt,
смт Сєверне,9981.0,9897.0,9884.0,Донецька область,Сніжне,1414448000,Т,14,smt,
м. Чистякове,56993.0,55924.0,55529.0,Донецька область,Чистякове,1414700000,М,14,town,ТОРЕЗ
смт Пелагіївка,18008.0,17882.0,17878.0,Донецька область,Чистякове,1414745400,Т,14,smt,
смт Розсипне,5047.0,5019.0,5018.0,Донецька область,Чистякове,1414745700,Т,14,smt,
м. Харцизьк,58641.0,58040.0,57845.0,Донецька область,Харцизьк,1415000000,М,14,town,
м. Зугрес,18474.0,18184.0,18143.0,Донецька область,Харцизьк,1415070500,М,14,town,
м. Іловайськ,15808.0,15667.0,15639.0,Донецька область,Харцизьк,1415070800,М,14,town,
смт Благодатне,34.0,37.0,36.0,Донецька область,Харцизьк,1415045600,Т,14,smt,ВОЙКОВЕ
смт Гірне,3389.0,3346.0,3337.0,Донецька область,Харцизьк,1415045900,Т,14,smt,
смт Зуївка,3165.0,3132.0,3129.0,Донецька область,Харцизьк,1415046200,Т,14,smt,
смт Миколаївка,125.0,123.0,122.0,Донецька область,Харцизьк,1415046500,Т,14,smt,
смт Покровка,168.0,167.0,167.0,Донецька область,Харцизьк,1415046800,Т,14,smt,
смт Троїцько-Харцизьк,960.0,934.0,933.0,Донецька область,Харцизьк,1415047200,Т,14,smt,
смт Шахтне,790.0,786.0,786.0,Донецька область,Харцизьк,1415047500,Т,14,smt,
смт Широке,760.0,740.0,738.0,Донецька область,Харцизьк,1415047800,Т,14,smt,
м. Шахтарськ,50468.0,49674.0,49526.0,Донецька область,Шахтарськ,1415300000,М,14,town,
смт Контарне,1463.0,1441.0,1440.0,Донецька область,Шахтарськ,1415345400,Т,14,smt,
смт Московське,645.0,633.0,632.0,Донецька область,Шахтарськ,1415345700,Т,14,smt,
смт Сердите,1930.0,1947.0,1945.0,Донецька область,Шахтарськ,1415346000,Т,14,smt,
смт Стіжківське,3991.0,3949.0,3944.0,Донецька область,Шахтарськ,1415346400,Т,14,smt,
м. Ясинувата,35701.0,35303.0,35197.0,Донецька область,Ясинувата,1415500000,М,14,town,
м. Амвросіївка,18682.0,18501.0,18420.0,Донецька область,Амвросіївський район,1420610100,М,14,town,
смт Копані,1146.0,1130.0,1126.0,Донецька область,Амвросіївський район,1420655300,Т,14,smt,ВОЙКОВСЬКИЙ
