town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
м. Першотравенськ,28994.0,28973.0,28834.0,Дніпропетровська область,Першотравенськ,1212600000,М,12,town,
м. Синельникове,31576.0,31528.0,31315.0,Дніпропетровська область,Синельникове,1213000000,М,12,town,
м. Тернівка,28853.0,28863.0,28836.0,Дніпропетровська область,Тернівка,1213500000,М,12,town,
м. Апостолове,14348.0,14252.0,14144.0,Дніпропетровська область,Апостолівський район,1220310100,М,12,town,
м. Зеленодольськ,13907.0,13792.0,13683.0,Дніпропетровська область,Апостолівський район,1220310300,М,12,town,
смт Васильківка,11958.0,11944.0,11930.0,Дніпропетровська область,Васильківський район,1220755100,Т,12,smt,
смт Письменне,1248.0,1224.0,1222.0,Дніпропетровська область,Васильківський район,1220755400,Т,12,smt,
смт Чаплине,3912.0,3885.0,3830.0,Дніпропетровська область,Васильківський район,1220755700,Т,12,smt,
м. Верхньодніпровськ,16760.0,16619.0,16445.0,Дніпропетровська область,Верхньодніпровський район,1221010100,М,12,town,
м. Верхівцеве,10062.0,10089.0,10135.0,Дніпропетровська область,Верхньодніпровський район,1221010300,М,12,town,
смт Дніпровське,5677.0,5659.0,5613.0,Дніпропетровська область,Верхньодніпровський район,1221055400,Т,12,smt,
смт Новомиколаївка,4162.0,4155.0,4115.0,Дніпропетровська область,Верхньодніпровський район,1221055800,Т,12,smt,
м. Підгородне,19530.0,19601.0,19638.0,Дніпропетровська область,Дніпровський район,1221411000,М,12,town,
смт Обухівка,9285.0,9273.0,9282.0,Дніпропетровська область,Дніпровський район,1221455400,Т,12,smt,КІРОВСЬКЕ
смт Слобожанське,12947.0,13009.0,13032.0,Дніпропетровська область,Дніпровський район,1221455800,Т,12,smt,ЮВІЛЕЙНЕ
смт Радушне,3813.0,3817.0,3833.0,Дніпропетровська область,Криворізький район,1221855500,Т,12,smt,
смт Христофорівка,1433.0,1429.0,1421.0,Дніпропетровська область,Криворізький район,1221855800,Т,12,smt,
смт Кринички,4268.0,4252.0,4178.0,Дніпропетровська область,Криничанський район,1222055100,Т,12,smt,
смт Аули,4196.0,4187.0,4158.0,Дніпропетровська область,Криничанський район,1222055300,Т,12,smt,
смт Божедарівка,2735.0,2711.0,2715.0,Дніпропетровська область,Криничанський район,1222055700,Т,12,smt,ЩОРСЬК
смт Магдалинівка,6449.0,6386.0,6316.0,Дніпропетровська область,Магдалинівський район,1222355100,Т,12,smt,
смт Межова,7520.0,7563.0,7569.0,Дніпропетровська область,Межівський район,1222655100,Т,12,smt,
смт Демурине,1130.0,1105.0,1091.0,Дніпропетровська область,Межівський район,1222655400,Т,12,smt,
смт Червоногригорівка,6600.0,6556.0,6505.0,Дніпропетровська область,Нікопольський район,1222955700,Т,12,smt,
м. Перещепине,10138.0,10151.0,10129.0,Дніпропетровська область,Новомосковський район,1223210500,М,12,town,
смт Гвардійське,6202.0,6227.0,6217.0,Дніпропетровська область,Новомосковський район,1223255300,Т,12,smt,
смт Губиниха,5637.0,5636.0,5605.0,Дніпропетровська область,Новомосковський район,1223255600,Т,12,smt,
смт Меліоративне,4267.0,4237.0,4211.0,Дніпропетровська область,Новомосковський район,1223255800,Т,12,smt,
смт Черкаське,4258.0,4351.0,4333.0,Дніпропетровська область,Новомосковський район,1223256200,Т,12,smt,
смт Петриківка,4743.0,4753.0,4709.0,Дніпропетровська область,Петриківський район,1223755100,Т,12,smt,
смт Курилівка,2646.0,2616.0,2656.0,Дніпропетровська область,Петриківський район,1223756800,Т,12,smt,
смт Миколаївка,1281.0,1275.0,1262.0,Дніпропетровська область,Петриківський район,1223757100,Т,12,smt,
смт Петропавлівка,7462.0,7378.0,7258.0,Дніпропетровська область,Петропавлівський район,1223855100,Т,12,smt,
смт Залізничне,301.0,269.0,257.0,Дніпропетровська область,Петропавлівський район,1223855300,Т,12,smt,БРАГИНІВКА
смт Покровське,10187.0,10132.0,10025.0,Дніпропетровська область,Покровський район,1224255100,Т,12,smt,
смт Просяна,5086.0,5031.0,4986.0,Дніпропетровська область,Покровський район,1224255400,Т,12,smt,
м. П’ятихатки,18886.0,18868.0,18791.0,Дніпропетровська область,П’ятихатський район,1224510100,М,12,town,
смт Вишневе,2378.0,2350.0,2342.0,Дніпропетровська область,П’ятихатський район,1224555300,Т,12,smt,
смт Лихівка,2045.0,2022.0,2021.0,Дніпропетровська область,П’ятихатський район,1224555600,Т,12,smt,
смт Іларіонове,9022.0,9005.0,8958.0,Дніпропетровська область,Синельниківський район,1224855300,Т,12,smt,
смт Роздори,1776.0,1763.0,1769.0,Дніпропетровська область,Синельниківський район,1224855600,Т,12,smt,
смт Сад,480.0,479.0,485.0,Дніпропетровська область,Синельниківський район,1224855900,Т,12,smt,
смт Славгород,2284.0,2282.0,2286.0,Дніпропетровська область,Синельниківський район,1224856200,Т,12,smt,
смт Солоне,7641.0,7675.0,7677.0,Дніпропетровська область,Солонянський район,1225055100,Т,12,smt,
смт Новопокровка,1920.0,1895.0,1887.0,Дніпропетровська область,Солонянський район,1225055400,Т,12,smt,
смт Софіївка,7002.0,6995.0,6923.0,Дніпропетровська область,Софіївський район,1225255100,Т,12,smt,
смт Томаківка,7133.0,7073.0,7101.0,Дніпропетровська область,Томаківський район,1225455100,Т,12,smt,
смт Царичанка,7610.0,7609.0,7549.0,Дніпропетровська область,Царичанський район,1225655100,Т,12,smt,
смт Широке,10412.0,10368.0,10362.0,Дніпропетровська область,Широківський район,1225855100,Т,12,smt,
смт Миколаївка,,2.0,2.0,Дніпропетровська область,Широківський район,1225855300,Т,12,smt,
смт Юр’ївка,2260.0,2239.0,2213.0,Дніпропетровська область,Юр’ївський район,1225955100,Т,12,smt,
м. Донецьк,949825.0,936257.0,929063.0,Донецька область,Донецьк,1410100000,В,14,city,
м. Моспине,10745.0,10635.0,10605.0,Донецька область,Донецьк,1410160500,М,14,town,
смт Горбачево-Михайлівка,919.0,917.0,917.0,Донецька область,Донецьк,1410166300,Т,14,smt,
смт Ларине,2773.0,2770.0,2770.0,Донецька область,Донецьк,1410167600,Т,14,smt,
м. Авдіївка,35090.0,34728.0,34238.0,Донецька область,Авдіївка,1410200000,М,14,town,
м. Бахмут,77474.0,77177.0,76599.0,Донецька область,Бахмут,1410300000,М,14,town,АРТЕМІВСЬК
смт Красна Гора,642.0,643.0,642.0,Донецька область,Бахмут,1410345600,Т,14,smt,
м. Вугледар,15294.0,15267.0,15195.0,Донецька область,Вугледар,1414800000,М,14,town,
м. Горлівка,254416.0,250991.0,249048.0,Донецька область,Горлівка,1410600000,В,14,city,
смт Гольмівський,6981.0,6914.0,6866.0,Донецька область,Горлівка,1410665300,Т,14,smt,
смт Пантелеймонівка,7904.0,7848.0,7833.0,Донецька область,Горлівка,1410666700,Т,14,smt,
м. Дебальцеве,25525.0,25184.0,25017.0,Донецька область,Дебальцеве,1410900000,М,14,town,
м. Торецьк,34750.0,34378.0,33864.0,Донецька область,Торецьк,1411200000,М,14,town,ДЗЕРЖИНСЬК
м. Залізне,5567.0,5498.0,5423.0,Донецька область,Торецьк,1411270300,М,14,town,АРТЕМОВЕ
смт Північне,10148.0,10055.0,9977.0,Донецька область,Торецьк,1411245300,Т,14,smt,КІРОВЕ
смт Курдюмівка,865.0,839.0,832.0,Донецька область,Торецьк,1411245600,Т,14,smt,
смт Південне,1588.0,1575.0,1550.0,Донецька область,Торецьк,1411245900,Т,14,smt,ЛЕНІНСЬКЕ
смт Неліпівка,1101.0,1096.0,1081.0,Донецька область,Торецьк,1411246200,Т,14,smt,
смт Новгородське,10788.0,10720.0,10627.0,Донецька область,Торецьк,1411246500,Т,14,smt,
смт Петрівка,1110.0,1102.0,1089.0,Донецька область,Торецьк,1411246800,Т,14,smt,
смт Щербинівка,3585.0,3570.0,3560.0,Донецька область,Торецьк,1411247200,Т,14,smt,
м. Мирноград,49519.0,49353.0,49021.0,Донецька область,Мирноград,1411300000,М,14,town,ДИМИТРОВ
м. Добропілля,30884.0,30697.0,30455.0,Донецька область,Добропілля,1411500000,М,14,town,
м. Білицьке,8627.0,8577.0,8466.0,Донецька область,Добропілля,1411570300,М,14,town,
м. Білозерське,15916.0,15830.0,15736.0,Донецька область,Добропілля,1411570500,М,14,town,
смт Водянське,1564.0,1548.0,1537.0,Донецька область,Добропілля,1411545300,Т,14,smt,
смт Новодонецьке,5886.0,5917.0,5903.0,Донецька область,Добропілля,1411545600,Т,14,smt,
м. Докучаєвськ,23641.0,23445.0,23370.0,Донецька область,Докучаєвськ,1411600000,М,14,town,
м. Дружківка,59596.0,59400.0,58953.0,Донецька область,Дружківка,1411700000,М,14,town,
смт Олексієво-Дружківка,7670.0,7625.0,7554.0,Донецька область,Дружківка,1411745300,Т,14,smt,
смт Новогригорівка,380.0,377.0,377.0,Донецька область,Дружківка,1411745600,Т,14,smt,
смт Новомиколаївка,97.0,97.0,95.0,Донецька область,Дружківка,1411745800,Т,14,smt,
смт Райське,911.0,905.0,896.0,Донецька область,Дружківка,1411746200,Т,14,smt,
м. Єнакієве,81054.0,79670.0,79409.0,Донецька область,Єнакієве,1412000000,М,14,town,
м. Бунге,13945.0,13740.0,13727.0,Донецька область,Єнакієве,1412070700,М,14,town,ЮНОКОМУНАРІВСЬК
смт Дружне,679.0,676.0,676.0,Донецька область,Єнакієве,1412045900,Т,14,smt,
смт Софіївка,9734.0,9637.0,9625.0,Донецька область,Єнакієве,1412046500,Т,14,smt,КАРЛО-МАРКСОВЕ
смт Корсунь,2623.0,2605.0,2600.0,Донецька область,Єнакієве,1412046800,Т,14,smt,
м. Жданівка,12301.0,12237.0,12210.0,Донецька область,Жданівка,1412100000,М,14,town,
смт Вільхівка,746.0,733.0,733.0,Донецька область,Жданівка,1412147000,Т,14,smt,
м. Хрестівка,28155.0,27896.0,27841.0,Донецька область,Хрестівка,1412500000,М,14,town,КІРОВСЬКЕ
м. Костянтинівка,76065.0,75040.0,73839.0,Донецька область,Костянтинівка,1412600000,М,14,town,
м. Краматорськ,162811.0,160895.0,159445.0,Донецька область,Краматорськ,1412900000,М,14,town,
смт Біленьке,9407.0,9335.0,9241.0,Донецька область,Краматорськ,1412945600,Т,14,smt,
смт Комишуваха,490.0,491.0,494.0,Донецька область,Краматорськ,1412945900,Т,14,smt,
смт Красноторка,2975.0,2984.0,2981.0,Донецька область,Краматорськ,1412946200,Т,14,smt,
смт Малотаранівка,3709.0,3719.0,3728.0,Донецька область,Краматорськ,1412946500,Т,14,smt,
смт Олександрівка,416.0,419.0,418.0,Донецька область,Краматорськ,1412945300,Т,14,smt,
смт Софіївка,855.0,854.0,859.0,Донецька область,Краматорськ,1412946800,Т,14,smt,
смт Шабельківка,4412.0,4394.0,4350.0,Донецька область,Краматорськ,1412947100,Т,14,smt,
смт Ясна Поляна,2148.0,2150.0,2151.0,Донецька область,Краматорськ,1412947400,Т,14,smt,
смт Ясногірка,8273.0,8252.0,8235.0,Донецька область,Краматорськ,1412947700,Т,14,smt,
